datum	tmin	tmax	rhmin	rhmax	solar	wind
2013-07-01	8	25.7	34	96	25.667	0.257233785
2013-07-02	10.8	27.9	36	97	24.300	0.257523181
2013-07-03	11.7	28.8	35	97	20.936	0.309317118
2013-07-04	14.5	29.5	33	96	22.552	0.44299766
2013-07-05	14.9	29.3	33	94	19.490	0.542390063
2013-07-06	18.7	27.2	47	81	19.812	0.510271986
2013-07-07	17.8	28.1	45	95	21.898	0.417390069
2013-07-08	17.1	28.4	36	83	23.786	0.318721097
2013-07-09	15.2	30	36	92	23.607	0.253761535
2013-07-10	15.4	29.7	35	96	19.179	0.319733778
2013-07-11	15	24.9	52	93	14.317	0.244357632
2013-07-12	11.2	25.6	40	97	23.040	0.284866889
2013-07-13	13	27.4	38	97	22.257	0.237991889
2013-07-14	13.4	27.8	32	96	20.695	0.293113389
2013-07-15	12.9	28.7	31	97	18.479	0.351128472
2013-07-16	12.1	27.4	29	89	23.957	0.321325208
2013-07-17	11.3	28.9	31	96	24.142	0.349247667
2013-07-18	12.4	30	29	96	22.238	0.346498826
2013-07-19	14	31.2	25	96	22.164	0.341724535
2013-07-20	15.7	32.2	28	92	21.598	0.385127306
2013-07-21	14.5	28.8	28	83	24.219	0.328269653
2013-07-22	11.7	30.8	23	95	24.055	0.366319465
2013-07-23	13.1	33.7	17	96	23.240	0.395254625
2013-07-24	15	32.2	29	96	14.845	0.316116889
2013-07-25	15.1	32	31	96	20.169	0.347077542
2013-07-26	16.9	35	29	96	22.114	0.368923625
2013-07-27	18	35.8	27	95	21.964	0.410011576
2013-07-28	18	37.5	29	96	21.569	0.359085639
2013-07-29	19.5	37.5	16	82	20.804	1.039062472
2013-07-30	16.7	29.4	23	70	20.238	0.957754625
2013-07-31	12.8	31	26	88	17.575	0.602141188
2013-08-01	14.7	29	31	92	22.550	0.413339097
2013-08-02	14.5	34.9	25	96	22.566	0.365596063
2013-08-03	15.8	37.4	27	95	21.593	0.307725694
2013-08-04	17.9	37.6	24	95	20.983	0.528067104
2013-08-05	17.5	34.2	32	92	21.021	0.363425958
2013-08-06	18.2	37	22	96	20.975	0.395833347
2013-08-07	18.6	36.6	26	93	20.303	0.420283583
2013-08-08	17.8	39.8	15	94	20.167	0.41536459
2013-08-09	18.9	35.5	28	92	16.531	0.716290556
2013-08-10	14.2	26.5	35	95	15.330	0.535879632
2013-08-11	12	29.9	29	95	17.901	0.462094903
2013-08-12	14.3	30.7	28	95	21.141	0.416087931
2013-08-13	13.9	32.4	27	96	14.894	0.683883097
2013-08-14	15.1	18.4	82	96	3.635	0.2265625
2013-08-15	12.4	26.1	30	98	17.721	0.496383076
2013-08-16	10.2	27.4	24	97	19.952	0.362413188
2013-08-17	10.5	30	26	97	19.066	0.431857618
2013-08-18	12.5	32.3	27	97	18.722	0.394241896
2013-08-19	15.4	32.6	26	96	17.570	0.458622674
2013-08-20	15.2	23.4	41	78	7.300	0.582175882
2013-08-21	14.6	26.1	30	82	17.274	0.516348382
2013-08-22	14.5	26.7	31	83	17.523	0.412326375
2013-08-23	11.6	27.4	39	92	15.432	0.325520799
2013-08-24	12.9	20.4	71	96	5.602	0.226562514
2013-08-25	12.9	18.2	89	98	4.513	0.115451382
2013-08-26	14.7	21.9	64	97	9.478	0.265480313
2013-08-27	15.5	23.1	66	97	11.183	0.233362243
2013-08-28	15.3	21.5	68	97	5.973	0.236400444
2013-08-29	12.2	24.7	33	97	13.226	0.581018521
2013-08-30	11.8	25.2	33	94	12.550	0.353877319
2013-08-31	9.7	26.9	29	98	14.530	0.325376153
2013-09-01	11.6	25.4	39	97	10.593	0.354021993
2013-09-02	11.7	20.8	51	96	14.574	0.377748854
2013-09-03	13.1	26.8	36	95	11.455	0.741753444
2013-09-04	15.6	26.1	48	93	14.931	0.289351854
2013-09-05	14.5	26.3	48	97	12.329	0.231047438
2013-09-06	12.2	26.6	42	98	14.170	0.304976854
