date,tmin,tmax,rhmin,rhmax,solar,wind
2013-07-01,8.0,25.7,34.0,96.0,25.666999999999998,0.257233785
2013-07-02,10.8,27.9,36.0,97.0,24.3,0.257523181
2013-07-03,11.7,28.8,35.0,97.0,20.936,0.309317118
2013-07-04,14.5,29.5,33.0,96.0,22.552,0.44299766
2013-07-05,14.9,29.3,33.0,94.0,19.49,0.5423900629999999
2013-07-06,18.7,27.2,47.0,81.0,19.812,0.510271986
2013-07-07,17.8,28.1,45.0,95.0,21.898000000000003,0.417390069
2013-07-08,17.1,28.4,36.0,83.0,23.785999999999998,0.318721097
2013-07-09,15.2,30.0,36.0,92.0,23.607,0.253761535
2013-07-10,15.4,29.7,35.0,96.0,19.179000000000002,0.319733778
2013-07-11,15.0,24.9,52.0,93.0,14.317,0.244357632
2013-07-12,11.2,25.6,40.0,97.0,23.04,0.284866889
2013-07-13,13.0,27.4,38.0,97.0,22.256999999999998,0.23799188899999998
2013-07-14,13.4,27.8,32.0,96.0,20.695,0.293113389
2013-07-15,12.9,28.7,31.0,97.0,18.479,0.351128472
2013-07-16,12.1,27.4,29.0,89.0,23.956999999999997,0.32132520800000003
2013-07-17,11.3,28.9,31.0,96.0,24.142,0.34924766700000004
2013-07-18,12.4,30.0,29.0,96.0,22.238000000000003,0.34649882600000004
2013-07-19,14.0,31.2,25.0,96.0,22.164,0.341724535
2013-07-20,15.7,32.2,28.0,92.0,21.598000000000003,0.385127306
2013-07-21,14.5,28.8,28.0,83.0,24.219,0.328269653
2013-07-22,11.7,30.8,23.0,95.0,24.055,0.366319465
2013-07-23,13.1,33.7,17.0,96.0,23.24,0.395254625
2013-07-24,15.0,32.2,29.0,96.0,14.845,0.316116889
2013-07-25,15.1,32.0,31.0,96.0,20.169,0.347077542
2013-07-26,16.9,35.0,29.0,96.0,22.114,0.368923625
2013-07-27,18.0,35.8,27.0,95.0,21.964000000000002,0.410011576
2013-07-28,18.0,37.5,29.0,96.0,21.569000000000003,0.359085639
2013-07-29,19.5,37.5,16.0,82.0,20.804000000000002,1.0390624720000001
2013-07-30,16.7,29.4,23.0,70.0,20.238,0.957754625
2013-07-31,12.8,31.0,26.0,88.0,17.575,0.6021411879999999
2013-08-01,14.7,29.0,31.0,92.0,22.55,0.41333909700000004
2013-08-02,14.5,34.9,25.0,96.0,22.566,0.36559606299999997
2013-08-03,15.8,37.4,27.0,95.0,21.593000000000004,0.307725694
2013-08-04,17.9,37.6,24.0,95.0,20.983,0.528067104
2013-08-05,17.5,34.2,32.0,92.0,21.021,0.363425958
2013-08-06,18.2,37.0,22.0,96.0,20.975,0.395833347
2013-08-07,18.6,36.6,26.0,93.0,20.303,0.42028358299999996
2013-08-08,17.8,39.8,15.0,94.0,20.167,0.41536459
2013-08-09,18.9,35.5,28.0,92.0,16.531,0.7162905559999999
2013-08-10,14.2,26.5,35.0,95.0,15.33,0.535879632
2013-08-11,12.0,29.9,29.0,95.0,17.901,0.46209490299999995
2013-08-12,14.3,30.7,28.0,95.0,21.141,0.416087931
2013-08-13,13.9,32.4,27.0,96.0,14.894,0.683883097
2013-08-14,15.1,18.4,82.0,96.0,3.635,0.2265625
2013-08-15,12.4,26.1,30.0,98.0,17.721,0.49638307600000003
2013-08-16,10.2,27.4,24.0,97.0,19.952,0.362413188
2013-08-17,10.5,30.0,26.0,97.0,19.066,0.43185761799999994
2013-08-18,12.5,32.3,27.0,97.0,18.722,0.39424189600000004
2013-08-19,15.4,32.6,26.0,96.0,17.57,0.458622674
2013-08-20,15.2,23.4,41.0,78.0,7.3,0.582175882
2013-08-21,14.6,26.1,30.0,82.0,17.274,0.516348382
2013-08-22,14.5,26.7,31.0,83.0,17.523,0.412326375
2013-08-23,11.6,27.4,39.0,92.0,15.432,0.32552079899999997
2013-08-24,12.9,20.4,71.0,96.0,5.602,0.226562514
2013-08-25,12.9,18.2,89.0,98.0,4.513,0.11545138199999999
