Time	wind	T	rh	P	solar	G	Shortwave_radiation	Ref_precip
01.01.2015 00:00	0.00000	-2.85600	97.46667		-0.75033	-5.26300	4.19217	0.00000
01.01.2015 01:00	0.00000	-2.66767	96.21667		0.73450	-5.26300	4.13067	0.00000
01.01.2015 02:00	0.00000	-2.54850	95.38333		-1.73083	-5.26300	4.28333	0.00000
01.01.2015 03:00	0.00000	-2.45067	94.78333		-1.46583	-4.56000	4.13333	0.00000
01.01.2015 04:00	0.00000	-2.54900	94.51667		-0.44500	-4.21000	4.20500	0.00000
01.01.2015 05:00	0.00000	-2.53033	94.48333		-1.64233	-4.21000	4.16667	0.00000
01.01.2015 06:00	0.00000	-2.68083	94.25000		0.26850	-4.21000	4.19083	0.00000
01.01.2015 07:00	0.00000	-2.50667	94.40000		-2.49700	-4.21000	4.16267	0.00000
01.01.2015 08:00	0.00000	-2.30883	93.31667		-10.93733	-4.21000	8.26617	0.00000
01.01.2015 09:00	0.00000	-1.89533	91.43333		-21.57500	-4.21000	16.18333	0.00000
01.01.2015 10:00	0.05467	-1.03917	85.53333		-57.35667	-4.21000	27.01833	0.00000
01.01.2015 11:00	0.46800	-0.28983	78.54000		-133.55000	-4.07700	41.32000	0.91000
01.01.2015 12:00	0.62650	0.10133	77.79000		-137.85667	-3.68300	40.46833	1.43000
01.01.2015 13:00	0.32700	0.40367	76.36167		-2.61033	-3.99000	34.42167	1.17000
01.01.2015 14:00	0.24533	0.30767	78.40333		4.83383	-4.20900	27.44000	1.04000
01.01.2015 15:00	0.33400	0.01783	81.40833		-1.09100	-4.20900	20.64500	0.65000
01.01.2015 16:00	0.57767	-0.64283	87.10000		-12.35583	-4.20900	6.17217	0.26000
01.01.2015 17:00	0.55850	-1.11583	92.41667		-3.83183	-4.20900	4.21250	0.00000
01.01.2015 18:00	0.28800	-1.43050	93.35000		-16.45467	-4.21000	4.20200	0.00000
01.01.2015 19:00	0.43000	-2.90250	96.98333		-26.92000	-4.21000	4.18483	0.00000
01.01.2015 20:00	0.58267	-4.05150	97.46667		-25.16333	-4.25400	4.17200	0.00000
01.01.2015 21:00	0.56217	-4.21117	98.11667		-24.91500	-4.60600	4.15917	0.00000
01.01.2015 22:00	0.10217	-5.51550	97.21667		-21.59167	-4.69300	4.13783	0.00000
